Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
ayoubi r crawford,2023,revisit role gender moder effect emot intellig leadership effect studi egypt,https://pureportal.coventry.ac.uk/en/publications/a-revisit-to-the-role-of-gender-in-moderating-the-effect-of-emoti,"https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi, https://pureportal.coventry.ac.uk/en/persons/megan-crawford"
johnson e ezeonyeka g,2023,becom nigerian,https://pureportal.coventry.ac.uk/en/publications/becoming-nigerian,"https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson, https://pureportal.coventry.ac.uk/en/persons/godswill-ezeonyeka"
dang q morini l,2023,same differ challeng tne,https://pureportal.coventry.ac.uk/en/publications/between-sameness-and-difference-challenges-for-tne,"https://pureportal.coventry.ac.uk/en/persons/que-anh-dang, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
karaku,2023,come shadow invest english privat tutor transit point kazakhstan educ system global pandem,https://pureportal.coventry.ac.uk/en/publications/coming-out-of-the-shadows-investing-in-english-private-tutoring-a,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
,2023,foreword,https://pureportal.coventry.ac.uk/en/publications/foreword-2,https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones
grant c tramontano c,2023,get measur remot revis valid life scale,https://pureportal.coventry.ac.uk/en/publications/getting-the-measure-of-remote-e-working-a-revision-and-further-va,"https://pureportal.coventry.ac.uk/en/persons/christine-grant, https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"
cawston j angelov,2023,hack museum democrat diy instal,https://pureportal.coventry.ac.uk/en/publications/hacking-the-museum-mandela27-a-democratic-diy-pop-up-installation,"https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2, https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov"
lawson muhammad r r aslam f crawford,2023,indonesian curriculum ten year impact mathemat teach,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea,"https://pureportal.coventry.ac.uk/en/persons/duncan-lawson, https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad, https://pureportal.coventry.ac.uk/en/persons/farzana-aslam, https://pureportal.coventry.ac.uk/en/persons/megan-crawford"
cawston j,2023,interact media cultur heritag book headset mindset taxonomi extend realiti experiment cultur heritag,https://pureportal.coventry.ac.uk/en/publications/interactive-media-for-cultural-heritage-book-from-headsets-to-min,https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2
karaku,2023,measur student adolesc propos integr model base pisa survey data,https://pureportal.coventry.ac.uk/en/publications/measuring-student-well-being-in-adolescence-proposal-of-a-five-fa,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
dang q,2023,ad valu float signifi mechan nordic higher educ region,https://pureportal.coventry.ac.uk/en/publications/nordic-added-value-a-floating-signifier-and-a-mechanism-for-nordi,https://pureportal.coventry.ac.uk/en/persons/que-anh-dang
karaku,2023,obituari zoltán dörnyei bibliometr map public,https://pureportal.coventry.ac.uk/en/publications/obituary-for-zolt%C3%A1n-d%C3%B6rnyei-19602022-a-bibliometric-mapping-of-hi,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
gilbert h j lawson hodd,2023,onlin mathemat statist support practition opinion germani great britain ireland,https://pureportal.coventry.ac.uk/en/publications/post-pandemic-online-mathematics-and-statistics-support-practitio,"https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson, https://pureportal.coventry.ac.uk/en/persons/mark-hodds"
fero k,2023,resist imageri struggl justic,https://pureportal.coventry.ac.uk/en/publications/resistant-imagery-in-struggles-for-justice,https://pureportal.coventry.ac.uk/en/persons/ken-fero
wimpenni k arnab,2023,engag univers explor mutual reciproc within commun insid outsid univers ace,https://pureportal.coventry.ac.uk/en/publications/the-engaged-university-exploring-mutuality-and-reciprocity-betwee,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab"
hodd,2023,impact mathemat entri compet year,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-mathematical-entry-competencies-1-year-,https://pureportal.coventry.ac.uk/en/persons/mark-hodds
karaku,2023,role teacher select criteria prepar teacher satisfact commit analysi kazakhstani tali data,https://pureportal.coventry.ac.uk/en/publications/the-role-of-teacher-selection-criteria-and-preparation-on-teacher,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
karaku,2023,throw light tutor global pandem kazakhstan implic futur higher educ,https://pureportal.coventry.ac.uk/en/publications/throwing-light-on-fee-charging-tutoring-during-the-global-pandemi,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
karaku,2023,transform school leadership systemat review research central educ system,https://pureportal.coventry.ac.uk/en/publications/transformational-school-leadership-a-systematic-review-of-researc,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
karaku,2023,understand academ achiev immigr student analysi pisa data,https://pureportal.coventry.ac.uk/en/publications/understanding-the-academic-achievement-of-the-first-and-second-ge,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
johnson e,2023,mean educ nigerian student experi,https://pureportal.coventry.ac.uk/en/publications/what-does-it-mean-to-be-educated-in-nigerian-student-experience,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
morini l,2022,year activ pakistan celebr share british heritag activ citizenship,https://pureportal.coventry.ac.uk/en/publications/75-years-of-scoutingguiding-activities-in-pakistan-celebrating-th,https://pureportal.coventry.ac.uk/en/persons/luca-morini
karaku,2022,bibliometr map shadow educ research achiev limit futur,https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-mapping-of-shadow-education-research-achievements-,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
wimpenni k arnab,2022,ace educ model develop social resili,https://pureportal.coventry.ac.uk/en/publications/aces-a-community-centred-educational-model-for-developing-social-,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab"
fero k,2022,carlo giuliani joy gardner georg floyd collect memori radic film,https://pureportal.coventry.ac.uk/en/publications/after-carlo-giuliani-after-joy-gardner-after-george-floyd-collect,https://pureportal.coventry.ac.uk/en/persons/ken-fero
khashab b ayoubi r,2022,analys enterpris resourc develop crm framework higher educ institut,https://pureportal.coventry.ac.uk/en/publications/analysing-enterprise-resources-for-developing-crm-framework-in-hi,"https://pureportal.coventry.ac.uk/en/persons/basel-khashab, https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi"
,2022,glocal commun practic support intern elt english languag teach student uk project bmeltet,https://pureportal.coventry.ac.uk/en/publications/a-glocal-community-of-practice-to-support-international-elt-engli,https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones
morini l,2022,place pull oneself togeth,https://pureportal.coventry.ac.uk/en/publications/being-all-over-the-place-and-pulling-oneself-together,https://pureportal.coventry.ac.uk/en/persons/luca-morini
rodrigu amorim adegboy stuart k rehl gilk g carrol j kneafsey r,2022,crisi increas access paramed profess bme commun,https://pureportal.coventry.ac.uk/en/publications/being-there-in-a-crisis-increasing-access-to-the-paramedic-profes,"https://pureportal.coventry.ac.uk/en/persons/amanda-r-a-adegboye, https://pureportal.coventry.ac.uk/en/persons/kim-stuart, https://pureportal.coventry.ac.uk/en/persons/tracey-rehling, https://pureportal.coventry.ac.uk/en/persons/gary-gilkes, https://pureportal.coventry.ac.uk/en/persons/julia-carroll, https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey"
hodd lawson,2022,chang student entri compet,https://pureportal.coventry.ac.uk/en/publications/changes-in-student-entry-competencies-2001-2017,"https://pureportal.coventry.ac.uk/en/persons/mark-hodds, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson"
morini l,2022,critic digit literaci key post digit citizenship intern review teacher compet framework,https://pureportal.coventry.ac.uk/en/publications/critical-digital-literacy-as-a-key-for-postdigital-citizenship-an,https://pureportal.coventry.ac.uk/en/persons/luca-morini
wimpenni k,2022,curriculum internation decolon academ,https://pureportal.coventry.ac.uk/en/publications/curriculum-internationalization-and-the-decolonizing-academic,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
clouder l,2022,develop autonomi placement percept physiotherapi student educ australia unit kingdom,https://pureportal.coventry.ac.uk/en/publications/development-of-autonomy-on-placement-perceptions-of-physiotherapy,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
wimpenni k dang q morini l,2022,doctor supervis virtual borderland space,https://pureportal.coventry.ac.uk/en/publications/doctorate-supervision-in-virtual-borderland-spaces,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/que-anh-dang, https://pureportal.coventry.ac.uk/en/persons/luca-morini"
ayoubi r,2022,government institut readi influenc citizen accept technolog task fit system qualiti facilit condit anteced,https://pureportal.coventry.ac.uk/en/publications/do-governmental-institutions-readiness-influence-citizens-accepta,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi
hodd,2022,editori confer special issu respond pandem,https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-1-responding-to-the-,https://pureportal.coventry.ac.uk/en/persons/mark-hodds
hodd,2022,editori confer special issu innov teach learn assess support,https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-2-innovations-in-tea,https://pureportal.coventry.ac.uk/en/persons/mark-hodds
clouder l bluteau p,2022,educ integr work qualit research studi explor contextu practition learn practic,https://pureportal.coventry.ac.uk/en/publications/education-for-integrated-working-a-qualitative-research-study-exp,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau"
price c,2022,evalu thinkhigh uni connect programm coventri warwickshir year student,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and-,https://pureportal.coventry.ac.uk/en/persons/charlotte-price
price c,2022,evalu thinkhigh uni connect programm coventri warwickshir year student,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and--2,https://pureportal.coventry.ac.uk/en/persons/charlotte-price
wimpenni k,2022,explor student experi occup therapi educ phenomenolog studi profession ident develop,https://pureportal.coventry.ac.uk/en/publications/exploring-students-experiences-in-occupational-therapy-education-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
